IP;time
83.56.240.105; 2016-02-27T17:54:28.028Z
83.56.240.105; 2016-02-27T17:54:29.792Z
83.56.240.105; 2016-02-27T17:54:31.542Z
83.56.240.105; 2016-02-27T17:54:33.358Z
83.56.240.105; 2016-02-27T17:54:35.200Z
83.56.240.105; 2016-02-27T17:54:36.938Z
83.56.240.105; 2016-02-27T17:54:38.550Z
83.56.240.105; 2016-02-27T17:54:40.165Z
83.56.240.105; 2016-02-27T17:54:41.687Z
83.56.240.105; 2016-02-27T17:54:42.074Z
83.56.240.105; 2016-02-27T17:54:42.480Z
83.56.240.105; 2016-02-27T17:54:43.273Z
83.56.240.105; 2016-02-27T17:54:44.089Z
83.56.240.105; 2016-02-27T17:54:44.253Z
83.56.240.105; 2016-02-27T17:54:44.917Z
83.56.240.105; 2016-02-27T17:54:45.732Z
83.56.240.105; 2016-02-27T17:54:46.492Z
83.56.240.105; 2016-02-27T17:54:46.535Z
83.56.240.105; 2016-02-27T17:54:47.336Z
83.56.240.105; 2016-02-27T17:54:48.155Z
83.56.240.105; 2016-02-27T17:54:48.782Z
83.56.240.105; 2016-02-27T17:54:48.989Z
83.56.240.105; 2016-02-27T17:54:49.814Z
83.56.240.105; 2016-02-27T17:54:50.614Z
83.56.240.105; 2016-02-27T17:54:51.175Z
83.56.240.105; 2016-02-27T17:54:51.448Z
83.56.240.105; 2016-02-27T17:54:52.282Z
83.56.240.105; 2016-02-27T17:54:53.088Z
83.56.240.105; 2016-02-27T17:54:53.904Z
83.56.240.105; 2016-02-27T17:54:53.924Z
83.56.240.105; 2016-02-27T17:54:54.761Z
83.56.240.105; 2016-02-27T17:54:55.588Z
83.56.240.105; 2016-02-27T17:54:56.425Z
83.56.240.105; 2016-02-27T17:54:56.443Z
83.56.240.105; 2016-02-27T17:54:57.256Z
83.56.240.105; 2016-02-27T17:54:58.088Z
83.56.240.105; 2016-02-27T17:54:58.787Z
83.56.240.105; 2016-02-27T17:54:58.931Z
83.56.240.105; 2016-02-27T17:54:59.764Z
83.56.240.105; 2016-02-27T17:55:00.600Z
83.56.240.105; 2016-02-27T17:55:01.239Z
83.56.240.105; 2016-02-27T17:55:01.461Z
83.56.240.105; 2016-02-27T17:55:02.391Z
83.56.240.105; 2016-02-27T17:55:03.231Z
83.56.240.105; 2016-02-27T17:55:03.868Z
83.56.240.105; 2016-02-27T17:55:04.083Z
83.56.240.105; 2016-02-27T17:55:04.920Z
83.56.240.105; 2016-02-27T17:55:05.765Z
83.56.240.105; 2016-02-27T17:55:06.289Z
83.56.240.105; 2016-02-27T17:55:06.605Z
83.56.240.105; 2016-02-27T17:55:07.436Z
83.56.240.105; 2016-02-27T17:55:08.266Z
83.56.240.105; 2016-02-27T17:55:08.727Z
83.56.240.105; 2016-02-27T17:55:09.100Z
83.56.240.105; 2016-02-27T17:55:10.017Z
83.56.240.105; 2016-02-27T17:55:10.867Z
83.56.240.105; 2016-02-27T17:55:11.192Z
83.56.240.105; 2016-02-27T17:55:11.834Z
83.56.240.105; 2016-02-27T17:55:12.669Z
83.56.240.105; 2016-02-27T17:55:13.515Z
83.56.240.105; 2016-02-27T17:55:13.703Z
83.56.240.105; 2016-02-27T17:55:14.357Z
83.56.240.105; 2016-02-27T17:55:15.202Z
83.56.240.105; 2016-02-27T17:55:16.111Z
83.56.240.105; 2016-02-27T17:55:16.142Z
83.56.240.105; 2016-02-27T17:55:17.146Z
83.56.240.105; 2016-02-27T17:55:18.051Z
83.56.240.105; 2016-02-27T17:55:18.916Z
83.56.240.105; 2016-02-27T17:55:19.231Z
83.56.240.105; 2016-02-27T17:55:19.751Z
83.56.240.105; 2016-02-27T17:55:20.585Z
83.56.240.105; 2016-02-27T17:55:21.425Z
83.56.240.105; 2016-02-27T17:55:22.095Z
83.56.240.105; 2016-02-27T17:55:22.290Z
83.56.240.105; 2016-02-27T17:55:23.102Z
83.56.240.105; 2016-02-27T17:55:23.958Z
83.56.240.105; 2016-02-27T17:55:24.945Z
83.56.240.105; 2016-02-27T17:55:24.987Z
83.56.240.105; 2016-02-27T17:55:25.817Z
83.56.240.105; 2016-02-27T17:55:26.691Z
83.56.240.105; 2016-02-27T17:55:27.264Z
83.56.240.105; 2016-02-27T17:55:27.625Z
83.56.240.105; 2016-02-27T17:55:28.612Z
83.56.240.105; 2016-02-27T17:55:29.530Z
83.56.240.105; 2016-02-27T17:55:29.687Z
83.56.240.105; 2016-02-27T17:55:30.397Z
83.56.240.105; 2016-02-27T17:55:31.376Z
83.56.240.105; 2016-02-27T17:55:32.059Z
83.56.240.105; 2016-02-27T17:55:32.333Z
83.56.240.105; 2016-02-27T17:55:33.241Z
83.56.240.105; 2016-02-27T17:55:34.077Z
83.56.240.105; 2016-02-27T17:55:34.460Z
83.56.240.105; 2016-02-27T17:55:34.968Z
83.56.240.105; 2016-02-27T17:55:35.801Z
83.56.240.105; 2016-02-27T17:55:36.656Z
83.56.240.105; 2016-02-27T17:55:36.734Z
83.56.240.105; 2016-02-27T17:55:37.688Z
83.56.240.105; 2016-02-27T17:55:38.525Z
83.56.240.105; 2016-02-27T17:55:39.126Z
83.56.240.105; 2016-02-27T17:55:39.418Z
83.56.240.105; 2016-02-27T17:55:40.250Z
83.56.240.105; 2016-02-27T17:55:41.105Z
83.56.240.105; 2016-02-27T17:55:41.895Z
83.56.240.105; 2016-02-27T17:55:42.069Z
83.56.240.105; 2016-02-27T17:55:42.908Z
83.56.240.105; 2016-02-27T17:55:43.775Z
83.56.240.105; 2016-02-27T17:55:44.260Z
83.56.240.105; 2016-02-27T17:55:44.691Z
83.56.240.105; 2016-02-27T17:55:45.525Z
83.56.240.105; 2016-02-27T17:55:46.392Z
83.56.240.105; 2016-02-27T17:55:47.092Z
83.56.240.105; 2016-02-27T17:55:47.307Z
83.56.240.105; 2016-02-27T17:55:48.151Z
83.56.240.105; 2016-02-27T17:55:49.003Z
83.56.240.105; 2016-02-27T17:55:49.360Z
83.56.240.105; 2016-02-27T17:55:49.925Z
83.56.240.105; 2016-02-27T17:55:50.776Z
83.56.240.105; 2016-02-27T17:55:51.691Z
83.56.240.105; 2016-02-27T17:55:52.305Z
83.56.240.105; 2016-02-27T17:55:52.601Z
83.56.240.105; 2016-02-27T17:55:53.552Z
83.56.240.105; 2016-02-27T17:55:54.391Z
83.56.240.105; 2016-02-27T17:55:54.920Z
83.56.240.105; 2016-02-27T17:55:55.474Z
83.56.240.105; 2016-02-27T17:55:56.309Z
83.56.240.105; 2016-02-27T17:55:57.186Z
83.56.240.105; 2016-02-27T17:55:57.655Z
83.56.240.105; 2016-02-27T17:55:58.085Z
83.56.240.105; 2016-02-27T17:55:59.006Z
83.56.240.105; 2016-02-27T17:56:00.212Z
83.56.240.105; 2016-02-27T17:56:00.278Z
83.56.240.105; 2016-02-27T17:56:01.071Z
83.56.240.105; 2016-02-27T17:56:01.936Z
83.56.240.105; 2016-02-27T17:56:02.634Z
83.56.240.105; 2016-02-27T17:56:02.846Z
83.56.240.105; 2016-02-27T17:56:03.736Z
83.56.240.105; 2016-02-27T17:56:04.594Z
83.56.240.105; 2016-02-27T17:56:05.253Z
83.56.240.105; 2016-02-27T17:56:05.500Z
83.56.240.105; 2016-02-27T17:56:06.393Z
83.56.240.105; 2016-02-27T17:56:07.255Z
83.56.240.105; 2016-02-27T17:56:07.574Z
83.56.240.105; 2016-02-27T17:56:08.202Z
83.56.240.105; 2016-02-27T17:56:09.059Z
83.56.240.105; 2016-02-27T17:56:09.939Z
83.56.240.105; 2016-02-27T17:56:10.025Z
85.54.249.8; 2016-02-27T17:56:11.046Z
83.56.240.105; 2016-02-27T17:56:11.181Z
85.54.249.8; 2016-02-27T17:56:11.893Z
83.56.240.105; 2016-02-27T17:56:12.046Z
83.56.240.105; 2016-02-27T17:56:12.446Z
85.54.249.8; 2016-02-27T17:56:12.742Z
83.56.240.105; 2016-02-27T17:56:13.266Z
85.54.249.8; 2016-02-27T17:56:13.564Z
85.54.249.8; 2016-02-27T17:56:14.387Z
83.56.240.105; 2016-02-27T17:56:14.608Z
85.54.249.8; 2016-02-27T17:56:15.191Z
83.56.240.105; 2016-02-27T17:56:15.523Z
83.56.240.105; 2016-02-27T17:56:15.765Z
85.54.249.8; 2016-02-27T17:56:16.039Z
85.54.249.8; 2016-02-27T17:56:16.897Z
83.56.240.105; 2016-02-27T17:56:17.080Z
85.54.249.8; 2016-02-27T17:56:17.780Z
83.56.240.105; 2016-02-27T17:56:18.055Z
83.56.240.105; 2016-02-27T17:56:18.494Z
85.54.249.8; 2016-02-27T17:56:18.672Z
83.56.240.105; 2016-02-27T17:56:19.128Z
85.54.249.8; 2016-02-27T17:56:19.644Z
83.56.240.105; 2016-02-27T17:56:20.392Z
85.54.249.8; 2016-02-27T17:56:20.637Z
83.56.240.105; 2016-02-27T17:56:21.320Z
83.56.240.105; 2016-02-27T17:56:21.515Z
85.54.249.8; 2016-02-27T17:56:21.604Z
83.56.240.105; 2016-02-27T17:56:22.361Z
85.54.249.8; 2016-02-27T17:56:22.578Z
83.56.240.105; 2016-02-27T17:56:23.321Z
85.54.249.8; 2016-02-27T17:56:23.542Z
83.56.240.105; 2016-02-27T17:56:24.289Z
83.56.240.105; 2016-02-27T17:56:24.377Z
85.54.249.8; 2016-02-27T17:56:24.536Z
85.54.249.8; 2016-02-27T17:56:25.545Z
83.56.240.105; 2016-02-27T17:56:25.746Z
85.54.249.8; 2016-02-27T17:56:26.550Z
83.56.240.105; 2016-02-27T17:56:26.989Z
83.56.240.105; 2016-02-27T17:56:27.346Z
85.54.249.8; 2016-02-27T17:56:27.620Z
83.56.240.105; 2016-02-27T17:56:28.003Z
85.54.249.8; 2016-02-27T17:56:28.621Z
83.56.240.105; 2016-02-27T17:56:29.247Z
85.54.249.8; 2016-02-27T17:56:29.629Z
83.56.240.105; 2016-02-27T17:56:30.247Z
83.56.240.105; 2016-02-27T17:56:30.288Z
85.54.249.8; 2016-02-27T17:56:30.621Z
83.56.240.105; 2016-02-27T17:56:31.319Z
85.54.249.8; 2016-02-27T17:56:31.622Z
83.56.240.105; 2016-02-27T17:56:32.489Z
85.54.249.8; 2016-02-27T17:56:32.633Z
83.56.240.105; 2016-02-27T17:56:33.195Z
83.56.240.105; 2016-02-27T17:56:33.546Z
85.54.249.8; 2016-02-27T17:56:33.634Z
83.56.240.105; 2016-02-27T17:56:34.523Z
85.54.249.8; 2016-02-27T17:56:34.648Z
83.56.240.105; 2016-02-27T17:56:35.660Z
85.54.249.8; 2016-02-27T17:56:35.661Z
83.56.240.105; 2016-02-27T17:56:36.074Z
85.54.249.8; 2016-02-27T17:56:36.661Z
83.56.240.105; 2016-02-27T17:56:36.826Z
85.54.249.8; 2016-02-27T17:56:37.681Z
83.56.240.105; 2016-02-27T17:56:37.907Z
85.54.249.8; 2016-02-27T17:56:38.698Z
83.56.240.105; 2016-02-27T17:56:39.121Z
83.56.240.105; 2016-02-27T17:56:39.281Z
85.54.249.8; 2016-02-27T17:56:39.727Z
83.56.240.105; 2016-02-27T17:56:40.353Z
85.54.249.8; 2016-02-27T17:56:40.734Z
83.56.240.105; 2016-02-27T17:56:41.457Z
83.56.240.105; 2016-02-27T17:56:42.198Z
83.56.240.105; 2016-02-27T17:56:42.688Z
83.56.240.105; 2016-02-27T17:56:43.820Z
83.56.240.105; 2016-02-27T17:56:44.869Z
83.56.240.105; 2016-02-27T17:56:45.391Z
83.56.240.105; 2016-02-27T17:56:46.046Z
83.56.240.105; 2016-02-27T17:56:47.149Z
173.56.90.214; 2016-02-27T17:56:47.916Z
83.56.240.105; 2016-02-27T17:56:48.269Z
173.56.90.214; 2016-02-27T17:56:48.748Z
83.56.240.105; 2016-02-27T17:56:49.102Z
83.56.240.105; 2016-02-27T17:56:49.393Z
173.56.90.214; 2016-02-27T17:56:49.582Z
83.56.240.105; 2016-02-27T17:56:50.516Z
83.56.240.105; 2016-02-27T17:56:51.667Z
83.56.240.105; 2016-02-27T17:56:52.380Z
83.56.240.105; 2016-02-27T17:56:52.887Z
83.56.240.105; 2016-02-27T17:56:54.173Z
83.56.240.105; 2016-02-27T17:56:55.217Z
83.56.240.105; 2016-02-27T17:56:55.291Z
173.56.90.214; 2016-02-27T17:56:55.360Z
173.56.90.214; 2016-02-27T17:56:56.177Z
83.56.240.105; 2016-02-27T17:56:56.437Z
173.56.90.214; 2016-02-27T17:56:57.017Z
83.56.240.105; 2016-02-27T17:56:57.653Z
173.56.90.214; 2016-02-27T17:56:57.852Z
83.56.240.105; 2016-02-27T17:56:58.326Z
173.56.90.214; 2016-02-27T17:56:58.684Z
83.56.240.105; 2016-02-27T17:56:58.868Z
173.56.90.214; 2016-02-27T17:56:59.518Z
83.56.240.105; 2016-02-27T17:57:00.064Z
173.56.90.214; 2016-02-27T17:57:00.354Z
173.56.90.214; 2016-02-27T17:57:01.195Z
83.56.240.105; 2016-02-27T17:57:01.274Z
83.56.240.105; 2016-02-27T17:57:01.326Z
173.56.90.214; 2016-02-27T17:57:02.030Z
83.56.240.105; 2016-02-27T17:57:02.496Z
173.56.90.214; 2016-02-27T17:57:02.862Z
173.56.90.214; 2016-02-27T17:57:03.697Z
83.56.240.105; 2016-02-27T17:57:03.797Z
83.56.240.105; 2016-02-27T17:57:04.264Z
173.56.90.214; 2016-02-27T17:57:04.543Z
83.56.240.105; 2016-02-27T17:57:05.031Z
173.56.90.214; 2016-02-27T17:57:05.374Z
173.56.90.214; 2016-02-27T17:57:06.204Z
83.56.240.105; 2016-02-27T17:57:06.313Z
173.56.90.214; 2016-02-27T17:57:07.038Z
83.56.240.105; 2016-02-27T17:57:07.454Z
83.56.240.105; 2016-02-27T17:57:07.577Z
173.56.90.214; 2016-02-27T17:57:07.880Z
173.56.90.214; 2016-02-27T17:57:08.714Z
83.56.240.105; 2016-02-27T17:57:08.741Z
173.56.90.214; 2016-02-27T17:57:09.553Z
83.56.240.105; 2016-02-27T17:57:09.983Z
83.56.240.105; 2016-02-27T17:57:10.354Z
173.56.90.214; 2016-02-27T17:57:10.406Z
173.56.90.214; 2016-02-27T17:57:11.247Z
83.56.240.105; 2016-02-27T17:57:11.397Z
173.56.90.214; 2016-02-27T17:57:12.131Z
83.56.240.105; 2016-02-27T17:57:12.533Z
173.56.90.214; 2016-02-27T17:57:12.976Z
83.56.240.105; 2016-02-27T17:57:13.415Z
83.56.240.105; 2016-02-27T17:57:13.746Z
173.56.90.214; 2016-02-27T17:57:13.839Z
173.56.90.214; 2016-02-27T17:57:14.699Z
83.56.240.105; 2016-02-27T17:57:15.069Z
173.56.90.214; 2016-02-27T17:57:15.565Z
83.56.240.105; 2016-02-27T17:57:16.254Z
173.56.90.214; 2016-02-27T17:57:16.417Z
83.56.240.105; 2016-02-27T17:57:16.895Z
173.56.90.214; 2016-02-27T17:57:17.299Z
83.56.240.105; 2016-02-27T17:57:17.543Z
173.56.90.214; 2016-02-27T17:57:18.183Z
94.192.68.43; 2016-02-27T17:57:18.662Z
83.56.240.105; 2016-02-27T17:57:18.816Z
173.56.90.214; 2016-02-27T17:57:19.031Z
173.56.90.214; 2016-02-27T17:57:19.901Z
94.192.68.43; 2016-02-27T17:57:19.969Z
83.56.240.105; 2016-02-27T17:57:20.052Z
83.56.240.105; 2016-02-27T17:57:20.118Z
173.56.90.214; 2016-02-27T17:57:20.847Z
94.192.68.43; 2016-02-27T17:57:20.921Z
83.56.240.105; 2016-02-27T17:57:21.378Z
173.56.90.214; 2016-02-27T17:57:21.744Z
94.192.68.43; 2016-02-27T17:57:21.860Z
83.56.240.105; 2016-02-27T17:57:22.648Z
173.56.90.214; 2016-02-27T17:57:22.668Z
94.192.68.43; 2016-02-27T17:57:22.798Z
83.56.240.105; 2016-02-27T17:57:22.925Z
173.56.90.214; 2016-02-27T17:57:23.537Z
94.192.68.43; 2016-02-27T17:57:23.713Z
83.56.240.105; 2016-02-27T17:57:23.942Z
173.56.90.214; 2016-02-27T17:57:24.461Z
94.192.68.43; 2016-02-27T17:57:24.590Z
88.8.68.68; 2016-02-27T17:57:24.598Z
173.56.90.214; 2016-02-27T17:57:25.369Z
83.56.240.105; 2016-02-27T17:57:25.461Z
94.192.68.43; 2016-02-27T17:57:25.481Z
83.56.240.105; 2016-02-27T17:57:26.280Z
173.56.90.214; 2016-02-27T17:57:26.287Z
94.192.68.43; 2016-02-27T17:57:26.370Z
83.56.240.105; 2016-02-27T17:57:26.865Z
173.56.90.214; 2016-02-27T17:57:27.228Z
94.192.68.43; 2016-02-27T17:57:27.284Z
88.8.68.68; 2016-02-27T17:57:27.380Z
83.56.240.105; 2016-02-27T17:57:28.132Z
173.56.90.214; 2016-02-27T17:57:28.220Z
94.192.68.43; 2016-02-27T17:57:28.227Z
173.56.90.214; 2016-02-27T17:57:29.130Z
94.192.68.43; 2016-02-27T17:57:29.160Z
83.56.240.105; 2016-02-27T17:57:29.530Z
83.56.240.105; 2016-02-27T17:57:29.550Z
94.192.68.43; 2016-02-27T17:57:30.079Z
173.56.90.214; 2016-02-27T17:57:30.087Z
88.8.68.68; 2016-02-27T17:57:30.332Z
83.56.240.105; 2016-02-27T17:57:30.928Z
94.192.68.43; 2016-02-27T17:57:31.021Z
173.56.90.214; 2016-02-27T17:57:31.022Z
173.56.90.214; 2016-02-27T17:57:31.961Z
94.192.68.43; 2016-02-27T17:57:31.996Z
83.56.240.105; 2016-02-27T17:57:32.160Z
173.56.90.214; 2016-02-27T17:57:32.914Z
94.192.68.43; 2016-02-27T17:57:32.940Z
83.56.240.105; 2016-02-27T17:57:32.947Z
83.56.240.105; 2016-02-27T17:57:33.417Z
88.8.68.68; 2016-02-27T17:57:33.493Z
94.192.68.43; 2016-02-27T17:57:33.861Z
173.56.90.214; 2016-02-27T17:57:33.888Z
83.56.240.105; 2016-02-27T17:57:34.667Z
94.192.68.43; 2016-02-27T17:57:34.789Z
173.56.90.214; 2016-02-27T17:57:34.880Z
94.192.68.43; 2016-02-27T17:57:35.725Z
173.56.90.214; 2016-02-27T17:57:35.842Z
83.56.240.105; 2016-02-27T17:57:35.914Z
83.56.240.105; 2016-02-27T17:57:36.128Z
94.192.68.43; 2016-02-27T17:57:36.621Z
88.8.68.68; 2016-02-27T17:57:36.730Z
173.56.90.214; 2016-02-27T17:57:36.877Z
83.56.240.105; 2016-02-27T17:57:37.176Z
94.192.68.43; 2016-02-27T17:57:37.594Z
173.56.90.214; 2016-02-27T17:57:37.905Z
94.192.68.43; 2016-02-27T17:57:38.544Z
83.56.240.105; 2016-02-27T17:57:38.617Z
173.56.90.214; 2016-02-27T17:57:38.862Z
83.56.240.105; 2016-02-27T17:57:39.318Z
94.192.68.43; 2016-02-27T17:57:39.546Z
88.8.68.68; 2016-02-27T17:57:39.832Z
83.56.240.105; 2016-02-27T17:57:39.869Z
173.56.90.214; 2016-02-27T17:57:39.981Z
68.3.130.5; 2016-02-27T17:57:40.366Z
94.192.68.43; 2016-02-27T17:57:40.512Z
173.56.90.214; 2016-02-27T17:57:41.049Z
83.56.240.105; 2016-02-27T17:57:41.119Z
94.192.68.43; 2016-02-27T17:57:41.476Z
68.3.130.5; 2016-02-27T17:57:41.583Z
173.56.90.214; 2016-02-27T17:57:42.108Z
83.56.240.105; 2016-02-27T17:57:42.384Z
83.56.240.105; 2016-02-27T17:57:42.410Z
94.192.68.43; 2016-02-27T17:57:42.670Z
68.3.130.5; 2016-02-27T17:57:43.069Z
173.56.90.214; 2016-02-27T17:57:43.253Z
88.8.68.68; 2016-02-27T17:57:43.312Z
94.192.68.43; 2016-02-27T17:57:43.629Z
83.56.240.105; 2016-02-27T17:57:43.713Z
173.56.90.214; 2016-02-27T17:57:44.218Z
68.3.130.5; 2016-02-27T17:57:44.495Z
94.192.68.43; 2016-02-27T17:57:44.579Z
83.56.240.105; 2016-02-27T17:57:44.965Z
173.56.90.214; 2016-02-27T17:57:45.375Z
83.56.240.105; 2016-02-27T17:57:45.481Z
94.192.68.43; 2016-02-27T17:57:45.531Z
68.3.130.5; 2016-02-27T17:57:45.961Z
83.56.240.105; 2016-02-27T17:57:46.226Z
173.56.90.214; 2016-02-27T17:57:46.461Z
94.192.68.43; 2016-02-27T17:57:46.522Z
88.8.68.68; 2016-02-27T17:57:46.681Z
83.56.240.105; 2016-02-27T17:57:47.476Z
173.56.90.214; 2016-02-27T17:57:47.487Z
94.192.68.43; 2016-02-27T17:57:47.499Z
94.192.68.43; 2016-02-27T17:57:48.502Z
173.56.90.214; 2016-02-27T17:57:48.516Z
83.56.240.105; 2016-02-27T17:57:48.709Z
83.56.240.105; 2016-02-27T17:57:48.774Z
94.192.68.43; 2016-02-27T17:57:49.530Z
173.56.90.214; 2016-02-27T17:57:49.555Z
83.56.240.105; 2016-02-27T17:57:50.069Z
88.8.68.68; 2016-02-27T17:57:50.251Z
94.192.68.43; 2016-02-27T17:57:50.600Z
173.56.90.214; 2016-02-27T17:57:50.631Z
83.56.240.105; 2016-02-27T17:57:51.324Z
173.56.90.214; 2016-02-27T17:57:51.708Z
94.192.68.43; 2016-02-27T17:57:51.802Z
66.87.67.45; 2016-02-27T17:57:51.805Z
83.56.240.105; 2016-02-27T17:57:51.928Z
66.87.67.45; 2016-02-27T17:57:52.414Z
83.56.240.105; 2016-02-27T17:57:52.572Z
173.56.90.214; 2016-02-27T17:57:52.815Z
94.192.68.43; 2016-02-27T17:57:52.935Z
88.8.68.68; 2016-02-27T17:57:53.465Z
173.56.90.214; 2016-02-27T17:57:53.883Z
83.56.240.105; 2016-02-27T17:57:53.918Z
94.192.68.43; 2016-02-27T17:57:53.991Z
66.87.67.45; 2016-02-27T17:57:54.115Z
173.56.90.214; 2016-02-27T17:57:54.940Z
94.192.68.43; 2016-02-27T17:57:55.050Z
83.56.240.105; 2016-02-27T17:57:55.205Z
83.56.240.105; 2016-02-27T17:57:55.222Z
66.87.67.45; 2016-02-27T17:57:55.634Z
173.56.90.214; 2016-02-27T17:57:56.049Z
94.192.68.43; 2016-02-27T17:57:56.097Z
83.56.240.105; 2016-02-27T17:57:56.460Z
88.8.68.68; 2016-02-27T17:57:56.642Z
173.56.90.214; 2016-02-27T17:57:57.124Z
94.192.68.43; 2016-02-27T17:57:57.167Z
83.56.240.105; 2016-02-27T17:57:57.742Z
173.56.90.214; 2016-02-27T17:57:58.216Z
94.192.68.43; 2016-02-27T17:57:58.296Z
83.56.240.105; 2016-02-27T17:57:58.629Z
83.56.240.105; 2016-02-27T17:57:59.043Z
173.56.90.214; 2016-02-27T17:57:59.330Z
94.192.68.43; 2016-02-27T17:57:59.403Z
68.3.130.5; 2016-02-27T17:57:59.974Z
173.56.90.214; 2016-02-27T17:58:00.482Z
94.192.68.43; 2016-02-27T17:58:00.486Z
88.8.68.68; 2016-02-27T17:58:00.509Z
83.56.240.105; 2016-02-27T17:58:00.517Z
94.192.68.43; 2016-02-27T17:58:01.477Z
173.56.90.214; 2016-02-27T17:58:01.576Z
83.56.240.105; 2016-02-27T17:58:01.751Z
83.56.240.105; 2016-02-27T17:58:01.835Z
94.192.68.43; 2016-02-27T17:58:02.525Z
173.56.90.214; 2016-02-27T17:58:02.675Z
83.56.240.105; 2016-02-27T17:58:03.133Z
88.8.68.68; 2016-02-27T17:58:03.230Z
94.192.68.43; 2016-02-27T17:58:03.543Z
173.56.90.214; 2016-02-27T17:58:03.806Z
83.56.240.105; 2016-02-27T17:58:04.469Z
94.192.68.43; 2016-02-27T17:58:04.563Z
173.56.90.214; 2016-02-27T17:58:04.919Z
83.56.240.105; 2016-02-27T17:58:05.196Z
83.56.240.105; 2016-02-27T17:58:05.726Z
173.56.90.214; 2016-02-27T17:58:06.019Z
173.56.90.214; 2016-02-27T17:58:07.143Z
83.56.240.105; 2016-02-27T17:58:07.212Z
173.56.90.214; 2016-02-27T17:58:08.293Z
83.56.240.105; 2016-02-27T17:58:08.397Z
83.56.240.105; 2016-02-27T17:58:08.481Z
173.56.90.214; 2016-02-27T17:58:09.418Z
83.56.240.105; 2016-02-27T17:58:09.794Z
173.56.90.214; 2016-02-27T17:58:10.617Z
83.56.240.105; 2016-02-27T17:58:11.050Z
173.56.90.214; 2016-02-27T17:58:11.787Z
83.56.240.105; 2016-02-27T17:58:12.200Z
83.56.240.105; 2016-02-27T17:58:12.306Z
173.56.90.214; 2016-02-27T17:58:12.956Z
83.56.240.105; 2016-02-27T17:58:13.560Z
173.56.90.214; 2016-02-27T17:58:14.124Z
83.56.240.105; 2016-02-27T17:58:14.771Z
173.56.90.214; 2016-02-27T17:58:15.366Z
83.56.240.105; 2016-02-27T17:58:15.605Z
173.56.90.214; 2016-02-27T17:58:15.898Z
83.56.240.105; 2016-02-27T17:58:16.187Z
83.56.240.105; 2016-02-27T17:58:19.161Z
83.56.240.105; 2016-02-27T17:58:21.741Z
217.216.50.154; 2016-02-27T17:58:22.057Z
217.216.50.154; 2016-02-27T17:58:23.230Z
83.56.240.105; 2016-02-27T17:58:24.500Z
217.216.50.154; 2016-02-27T17:58:24.525Z
217.216.50.154; 2016-02-27T17:58:25.806Z
217.216.50.154; 2016-02-27T17:58:26.976Z
83.56.240.105; 2016-02-27T17:58:27.071Z
217.216.50.154; 2016-02-27T17:58:28.159Z
217.216.50.154; 2016-02-27T17:58:29.401Z
83.56.240.105; 2016-02-27T17:58:29.684Z
217.216.50.154; 2016-02-27T17:58:30.690Z
217.216.50.154; 2016-02-27T17:58:32.054Z
83.56.240.105; 2016-02-27T17:58:32.464Z
217.216.50.154; 2016-02-27T17:58:33.477Z
217.216.50.154; 2016-02-27T17:58:34.967Z
83.56.240.105; 2016-02-27T17:58:35.095Z
217.216.50.154; 2016-02-27T17:58:36.429Z
217.216.50.154; 2016-02-27T17:58:37.902Z
83.56.240.105; 2016-02-27T17:58:38.009Z
